__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317325.336334,2.516099215,-0.446738273,-1.481418848,0.000000000,40.000000000
1707317325.436388,2.522173882,-0.439167649,-1.480670810,0.000000000,40.000000000
1707317325.536367,2.516526222,-0.445940614,-1.481233478,0.000000000,40.000000000
1707317325.636275,2.503396273,-0.459673047,-1.481534600,0.000000000,40.000000000
1707317325.736225,2.479073286,-0.484284699,-1.481678963,0.000000000,40.000000000
1707317325.836195,2.466923237,-0.496723056,-1.481823206,0.000000000,40.000000000
1707317325.936171,2.459447861,-0.506214559,-1.482831120,0.000000000,40.000000000
1707317326.036487,2.454173565,-0.511687815,-1.482930660,0.000000000,40.000000000
1707317326.136370,2.391968250,-0.572643936,-1.482306004,0.000000000,40.000000000
1707317326.236333,2.376445055,-0.585611463,-1.481028318,0.000000000,40.000000000
1707317326.336099,2.434151411,-0.529080093,-1.481615782,0.000000000,40.000000000
1707317326.436101,2.488762379,-0.475684494,-1.482223511,0.000000000,40.000000000
1707317326.536277,2.535621643,-0.428033680,-1.481827617,0.000000000,40.000000000
1707317326.636372,2.523391008,-0.440170437,-1.481780767,0.000000000,40.000000000
1707317326.736207,2.476716280,-0.486596018,-1.481656194,0.000000000,40.000000000
1707317326.836082,2.438786745,-0.524951756,-1.481869221,0.000000000,40.000000000
1707317326.936230,2.400846720,-0.561326504,-1.481086612,0.000000000,40.000000000
1707317327.036075,2.396108389,-0.566243827,-1.481176019,0.000000000,40.000000000
1707317327.136262,2.430139303,-0.528018951,-1.479079127,0.000000000,40.000000000
1707317327.236187,2.467538357,-0.490063578,-1.478801012,0.000000000,40.000000000
1707317327.336168,2.526420832,-0.432594925,-1.479507923,0.000000000,40.000000000
1707317327.436045,2.548635960,-0.407903075,-1.478269577,0.000000000,40.000000000
1707317327.536087,2.547031879,-0.410753071,-1.478892446,0.000000000,40.000000000
